NAME,population,total_hispanic,total_bs,median_income,pcnt_pop,pcnt_hispanic,pcnt_bs
"Alameda County, California",1656754,371019,320319,44165,4.217430031750992,22.394332532168324,19.33413168158942
"Alpine County, California",1039,130,163,30615,0.0026448765495597298,12.512030798845045,15.688161693936479
"Amador County, California",38429,5340,3979,31321,0.09782479395864375,13.895755809414764,10.354159619037706
"Butte County, California",225817,36916,26518,24463,0.5748393530239938,16.3477506122214,11.74313714202208
"Calaveras County, California",45514,5489,4260,29752,0.11586035734038648,12.060025486663445,9.359757437272048
"Colusa County, California",21454,12738,1523,27440,0.05461326419081275,59.37354339517107,7.098909294304093
"Contra Costa County, California",1142251,292298,206622,42936,2.90771211127156,25.589647109085483,18.089018963432732
"Del Norte County, California",27495,5429,1711,24206,0.06999122303190065,19.745408256046552,6.2229496272049465
"El Dorado County, California",188563,24199,31014,37448,0.4800056369726962,12.833376643349967,16.447553337611303
"Fresno County, California",984521,522364,84769,25505,2.506194904185847,53.05767982602707,8.610176928679023
"Glenn County, California",27976,11680,1964,24707,0.07121565577524833,41.75007148984844,7.020303116957392
"Humboldt County, California",135940,15722,18745,25431,0.34604862189331054,11.5653964984552,13.789171693394145
"Imperial County, California",180701,152172,11716,18306,0.4599921437747765,84.21204088521922,6.4836387181033865
"Inyo County, California",17977,4020,2201,31760,0.045762219183287066,22.36190688101463,12.243422150525673
"Kern County, California",887641,473374,58968,25206,2.2595773487273805,53.32944287161139,6.6432262592647255
"Kings County, California",150691,82116,9430,26700,0.38359874122204546,54.49296905588257,6.257838888852022
"Lake County, California",64195,13224,4659,25426,0.16341467766986223,20.599735181867747,7.257574577459304
"Lassen County, California",30818,5844,2080,31239,0.07845024591369755,18.962943734181323,6.749302355766111
"Los Angeles County, California",10081570,4888434,1460862,30156,25.66362663690557,48.48881672199866,14.490421630757908
"Madera County, California",155433,89798,9917,23916,0.39566996797662896,57.77280242934255,6.380241004162565
"Marin County, California",259943,41527,65371,53888,0.661710437846203,15.9754253817183,25.148205568143783
"Mariposa County, California",17420,1963,2169,28097,0.04434432097529403,11.26865671641791,12.451205510907004
"Mendocino County, California",87224,21898,9685,27199,0.22203725905562835,25.105475557186097,11.103595340731909
"Merced County, California",271382,161814,14630,25118,0.6908295358735501,59.62591476221709,5.390924969231563
"Modoc County, California",8907,1291,638,25411,0.022673643336793566,14.49421803076232,7.1629055798809915
"Mono County, California",14310,3865,2084,31474,0.036427510514147964,27.009084556254372,14.56324248777079
"Monterey County, California",433410,254294,40905,28724,1.103287724104603,58.672850188043654,9.43794559424102
"Napa County, California",139623,47544,22816,38822,0.35542406013395395,34.051696353752604,16.34114723218954
"Nevada County, California",99244,9373,18412,32953,0.25263534964822504,9.44439966144049,18.55225504816412
"Orange County, California",3168044,1078726,564720,36630,8.064567164170745,34.050221524701044,17.82550999922981
"Placer County, California",385512,53969,71518,41802,0.9813586606100776,13.999304820602212,18.551432899624395
"Plumas County, California",18660,1670,2141,32280,0.04750086276687638,8.94962486602358,11.47374062165059
"Riverside County, California",2411439,1179478,221322,28846,6.138554823670612,48.911790843558556,9.178005332085945
"Sacramento County, California",1524553,353318,210144,32694,3.88089940159859,23.17518643169506,13.783974712587888
"San Benito County, California",60376,36081,5294,34341,0.1536930380714324,59.760500861269385,8.768384788657745
"San Bernardino County, California",2149031,1145874,183593,27464,5.470569486214529,53.32049654006853,8.543059639437494
"San Diego County, California",3316073,1117517,533725,35040,8.441389522933765,33.70001203230448,16.095091995863783
"San Francisco County, California",874961,133314,241699,53037,2.2272991633102315,15.236564829746696,27.62397409713119
"San Joaquin County, California",742603,307463,60276,30033,1.8903688742374438,41.403414745159935,8.116853823644666
"San Luis Obispo County, California",282165,63534,41436,32458,0.7182787214692216,22.51661262027537,14.685024719578971
"San Mateo County, California",767423,187248,159607,50147,1.9535506220334713,24.39958145638064,20.79778687894421
"Santa Barbara County, California",444829,201837,55474,30060,1.1323559101675698,45.37406509018072,12.470859588740842
"Santa Clara County, California",1927470,490978,369625,48579,4.906564199210677,25.472666241238517,19.176692763052085
"Santa Cruz County, California",273962,91980,42819,31708,0.6973971792786167,33.57399931377344,15.629539863192706
"Shasta County, California",179212,17975,18727,27346,0.4562017480266586,10.030020311139879,10.449635069080196
"Sierra County, California",3040,324,205,28324,0.007738618585814801,10.657894736842104,6.743421052631579
"Siskiyou County, California",43468,5467,4859,25935,0.1106520633842756,12.577068188092388,11.178338087788719
"Solano County, California",441829,116869,56528,36572,1.1247191155105158,26.451183602706024,12.794090021252567
"Sonoma County, California",499772,133569,79864,37386,1.2722187131150773,26.725987050094847,15.980086919635353
"Stanislaus County, California",543194,251259,40630,28377,1.382753678981278,46.25584965960596,7.479832251460803
"Sutter County, California",96109,29748,7457,26507,0.24465489923160355,30.952356178921846,7.758898750377176
"Tehama County, California",63912,15958,4864,23427,0.16269427337388015,24.96870697208662,7.6104643885342345
"Trinity County, California",12700,927,1411,24116,0.03232909738152894,7.299212598425196,11.11023622047244
"Tulare County, California",461898,298245,26586,23331,1.1758067261679885,64.56945039813985,5.75581621916527
"Tuolumne County, California",54045,6617,5460,29979,0.13757685574682926,12.243500786381718,10.102692200943657
"Ventura County, California",847263,361601,121499,34397,2.15679118383987,42.67871959474213,14.340175364674252
"Yolo County, California",217352,68704,27562,30732,0.5532908641000062,31.609555007545364,12.68081269093452
"Yuba County, California",76360,21563,5872,28587,0.19438188000421652,28.238606600314302,7.689889994761654
