Laboratory,Field,Latitude,Longitude,Date collected,Land use,Hg,Al,Ca,Fe,K,Mg,Na,S,Ti,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Ga,In,La,Li,Mn,Mo,Nb,Ni,P,Pb,Rb,Sb,Sc,Sn,Sr,Te,Th,Tl,U,V,W,Y,Zn,Se
number,number,,,,,mg/kg,%,%,%,%,%,%,%,%,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
C-292467,06co001,40.99933,-108.59914,7-Sep-06,gas field,0.02,6.14,4.16,3.13,1.92,0.73,0.42,0.05,0.18,<1,16,572,1.9,0.24,0.8,70.8,11.9,46,6,20.9,14.5,0.05,33.9,34,857,1.29,9.4,22.4,"1,400",22.4,110,0.67,8.2,1.7,163,<0.1,12.3,0.7,2.3,83,1,18.6,89,0.8
C-292174,06co002,40.99054,-102.51758,16-Mar-06,ranch,<0.02,5.71,1.26,1.54,2.57,0.47,1.2,0.03,0.18,<1,3,743,2.1,0.15,0.3,60.5,5,22,<5,10,11.6,<0.02,33.8,18,358,0.68,10,8.7,610,23.6,97,0.52,5.3,1.3,218,<0.1,10.8,0.6,1.9,42,0.8,16.8,47,<0.2
C-292458,06co003,41.00214,-102.3801,17-Mar-06,farm,<0.02,5.6,1.71,1.52,2.37,0.51,1.34,0.06,0.2,<1,3,752,1.9,0.12,0.2,57,4.4,23,<5,14.4,12.4,0.03,34.2,19,321,0.75,11.2,8.7,640,23,90.4,0.53,5.6,1.5,246,<0.1,9.9,0.6,2.6,41,1,17.4,52,0.3
C-285225,06co004,40.92621,-108.84734,7-Sep-06,open range,<0.02,3.49,0.76,1.16,1.4,0.36,0.54,0.03,0.13,<1,5,468,1,0.12,0.2,31.7,3.8,22,<5,11.7,7.71,0.02,17.5,15,212,0.82,5,8.7,320,13.2,56.5,0.42,3.8,0.9,132,<0.1,7.1,0.3,1.6,34,0.5,10.4,31,<0.2
C-292487,06co005,40.97169,-107.71602,29-Jul-06,state land,<0.02,4.86,0.6,1.17,2.09,0.32,1.02,0.02,0.13,<1,3,761,1.2,0.13,0.3,69.1,4.9,24,<5,8.9,9.91,0.02,33.3,14,379,0.6,5.8,9.4,430,21.2,92.4,0.4,3.8,0.8,192,<0.1,12.6,0.6,2.1,34,0.4,11.5,35,<0.2
C-292235,06co006,40.98311,-105.53609,10-Jun-06,national forest,0.04,6.39,1.23,3.18,2.88,0.34,1.92,0.03,0.3,<1,5,"1,530",2.3,0.29,0.4,79.3,6.1,18,<5,12.4,18.3,0.09,34.2,20,"1,050",1.08,21.4,8.6,440,28.6,86.4,0.49,9.6,2.4,182,<0.1,8.5,0.5,2.4,29,1.2,38.3,124,0.2
C-292339,06co007,40.97345,-104.04816,9-Jun-06,idle,0.02,5.82,1.31,2.18,2.68,0.74,1.15,0.04,0.23,<1,5,728,2,0.23,0.4,76.4,7.4,31,<5,15.9,14.3,0.03,39.3,30,535,0.97,11.4,13.5,700,22.7,106,0.58,7.3,1.5,187,<0.1,12.7,0.7,3,59,0.9,21.6,64,0.4
C-290011,06co008,40.96439,-103.38132,16-Mar-06,ranch,<0.02,5.08,2.46,1.31,2.02,0.52,0.94,0.03,0.13,<1,7,639,1.8,0.32,0.4,57.9,5,15,<5,11.1,11.5,0.03,31.8,21,301,0.95,8.6,8.2,610,25.1,97.4,0.56,5.2,1.3,190,<0.1,10.6,0.7,2.4,34,1.1,13.7,71,<0.2
C-284692,06co009,40.96441,-103.02085,16-Mar-06,grassland,<0.02,5.37,1.04,1.77,2.49,0.46,1.22,0.03,0.19,<1,4,788,1.7,0.2,0.3,70.3,5.7,24,<5,11.2,13.5,0.03,38.3,18,419,0.73,10.2,9.5,500,31.7,104,0.6,6.7,1.4,224,<0.1,12.3,0.6,2.6,47,0.9,18,52,<0.2
